OID_CD119_20|GEOID_CD119_20|NAMELSAD_CD119_20|AREALAND_CD119_20|AREAWATER_CD119_20|MTFCC_CD119_20|FUNCSTAT_CD119_20|OID_AIANNH_20|GEOID_AIANNH_20|NAMELSAD_AIANNH_20|AREALAND_AIANNH_20|AREAWATER_AIANNH_20|MTFCC_AIANNH_20|CLASSFP_AIANNH_20|FUNCSTAT_AIANNH_20|AREALAND_PART|AREAWATER_PART
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|251903716903668|6860|Lesnoi ANVSA|6250339|313897|G2130|E1|S|6250339|313897
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045769578|6865|Levelock ANVSA|43319611|0|G2130|E1|S|43319611|0
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045104056|6875|Lime Village ANVSA|198192669|5673660|G2130|E1|S|198192669|5673660
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045104057|6890|Lower Kalskag ANVSA|3222578|1310464|G2130|E1|S|3222578|1310464
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190758886992|6895|McGrath ANVSA|109641713|14527333|G2130|E1|S|109641713|14527333
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190758886993|6900|Manley Hot Springs ANVSA|38991600|0|G2130|E1|S|38991600|0
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045529110|6905|Manokotak ANVSA|90915952|2322048|G2130|E1|S|90915952|2322048
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519064048025|6910|Marshall ANVSA|10517004|8501|G2130|E1|S|10517004|8501
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519051328859|6915|Mary's Igloo ANVSA|1152435|125005|G2130|E1|S|1152435|125005
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045104058|6935|Mekoryuk ANVSA|18303027|33631|G2130|E1|S|18303027|33631
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190510048653|6945|Mentasta Lake ANVSA|97448595|4825148|G2130|E1|S|97448595|4825148
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190758886994|6965|Minto ANVSA|7833799|0|G2130|E1|S|7833799|0
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519064048026|6975|Mountain Village ANVSA|280033261|82346109|G2130|E1|S|280033261|82346109
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045508734|6990|Naknek ANVSA|211178286|1724827|G2130|E1|S|211178286|1724827
